iter	Logloss
0	0.6451425684
1	0.6249431079
2	0.606698849
3	0.5908819112
4	0.57987364
5	0.567772215
6	0.5591021034
7	0.5419894489
8	0.5220290025
9	0.5136712788
10	0.5050647878
11	0.4917198935
12	0.4836354413
13	0.4753032545
14	0.4701883133
15	0.4654764114
16	0.460460804
17	0.4562002896
18	0.4492753298
19	0.4439620265
20	0.4360150277
21	0.42861729
22	0.4240161167
23	0.4159315361
24	0.4127932172
25	0.4101673454
26	0.4059845433
27	0.4005065637
28	0.3982011411
29	0.3917239259
30	0.388420406
31	0.3832572502
32	0.3806865252
33	0.3783971626
34	0.3756654127
35	0.3736775616
36	0.3689638012
37	0.3640991577
38	0.3606153585
39	0.3565507509
40	0.354302409
41	0.351966539
42	0.3494919253
43	0.3468733679
44	0.3455900817
45	0.3435005223
46	0.3421479368
47	0.340740857
48	0.3369671382
49	0.3331513302
50	0.330599726
51	0.3292491212
52	0.3269256683
53	0.3239102815
54	0.3216304681
55	0.3198138617
56	0.3176328183
57	0.3156948178
58	0.3141735797
59	0.3130849622
60	0.3119991997
61	0.3105373452
62	0.309554638
63	0.3084401239
64	0.3072322489
65	0.3048719334
66	0.3035221587
67	0.3024880036
68	0.3009045841
69	0.2987566437
70	0.2948370878
71	0.2938593508
72	0.2928342125
73	0.2914230962
74	0.2904966972
75	0.2892891647
76	0.2881392154
77	0.287357381
78	0.28612237
79	0.2850088869
80	0.2834490097
81	0.281929345
82	0.2810853109
83	0.2800715024
84	0.2793358054
85	0.2760543888
86	0.2721623087
87	0.2712286908
88	0.2704551633
89	0.2678679211
90	0.2665500808
91	0.2650539881
92	0.2642787895
93	0.262343027
94	0.2609633405
95	0.2598195958
96	0.2585107377
97	0.2575800203
98	0.2558381477
99	0.2548955518
100	0.2525218535
101	0.2520354768
102	0.2511713645
103	0.2506186452
104	0.2498629262
105	0.2493553087
106	0.248056197
107	0.2470336568
108	0.2461845306
109	0.2452892713
110	0.2440407761
111	0.2430195307
112	0.2416046249
113	0.2409461213
114	0.2406004072
115	0.2400669595
116	0.2396223493
117	0.2381258117
118	0.2376015337
119	0.2369671145
120	0.2365072311
121	0.235175228
122	0.2345514925
123	0.2339323054
124	0.2331380999
125	0.2327149058
126	0.2308954559
127	0.2299351095
128	0.2292895792
129	0.2289144052
130	0.2283094936
131	0.227901662
132	0.2266362265
133	0.2261074289
134	0.2232996901
135	0.2215891959
136	0.2207362072
137	0.219240824
138	0.2183321995
139	0.2171388289
140	0.2167378928
141	0.2163297376
142	0.2155011585
143	0.2151471518
144	0.2147821913
145	0.2143999829
146	0.2138561233
147	0.2129792111
148	0.2121628592
149	0.2114069716
150	0.2109622899
151	0.2104237831
152	0.2092895331
153	0.2089423083
154	0.2084429071
155	0.2079081171
156	0.2062686344
157	0.2056247668
158	0.2045983083
159	0.2039231753
160	0.2034577267
