iter	Passed	Remaining
0	101	50711
1	139	34774
2	180	29949
3	230	28532
4	282	27954
5	329	27154
6	393	27700
7	454	27974
8	525	28648
9	589	28904
10	665	29589
11	720	29310
12	780	29239
13	839	29150
14	895	28949
15	939	28434
16	983	27956
17	1021	27342
18	1074	27195
19	1116	26792
20	1156	26380
21	1211	26317
22	1264	26227
23	1328	26344
24	1488	28287
25	1544	28165
26	1585	27777
27	1626	27415
28	1667	27078
29	1712	26824
30	1758	26601
31	1818	26598
32	2146	30380
33	2248	30810
34	2280	30300
35	2314	29832
36	2357	29501
37	2404	29231
38	2443	28877
39	2481	28532
40	2516	28177
41	2563	27949
42	2598	27617
43	2635	27316
44	2673	27027
45	2720	26849
46	2763	26635
47	2798	26350
48	2862	26346
49	2915	26235
50	2969	26143
51	3032	26127
52	3079	25970
53	3147	25993
54	3195	25855
55	3252	25785
56	3300	25650
57	3375	25721
58	3442	25730
59	3483	25543
60	3563	25644
61	3623	25601
62	3666	25429
63	3707	25260
64	3755	25133
65	3815	25087
66	3872	25026
67	3929	24960
68	3976	24841
69	4025	24730
70	4071	24602
71	4114	24458
72	4170	24395
73	4221	24302
74	4279	24253
75	4342	24226
76	4380	24062
77	4424	23938
78	4458	23761
79	4504	23649
80	4551	23541
81	4592	23408
82	4632	23273
83	4671	23134
84	4725	23073
85	4769	22959
86	4822	22890
87	4868	22791
88	4905	22655
89	4951	22556
90	5010	22521
91	5056	22422
92	5097	22310
93	5142	22211
94	5215	22233
95	5287	22250
96	5323	22119
97	5367	22019
98	5414	21932
99	5460	21843
100	5552	21933
101	5594	21830
102	5640	21742
103	5676	21615
104	5715	21501
105	5759	21406
106	5804	21317
107	5845	21216
108	5882	21099
109	5925	21008
110	5969	20921
111	6009	20817
112	6050	20720
113	6089	20619
114	6125	20505
115	6169	20422
116	6203	20305
117	6245	20218
118	6282	20113
119	6324	20026
120	6377	19975
121	6442	19959
122	6487	19884
123	6520	19771
124	6561	19684
125	6605	19607
126	6650	19532
127	6690	19443
128	6750	19413
129	6822	19419
130	6907	19457
131	6950	19376
132	6991	19291
133	7052	19261
134	7096	19188
135	7146	19128
136	7188	19046
137	7235	18980
138	7280	18909
139	7331	18852
140	7379	18789
141	7418	18703
142	7478	18669
143	7511	18570
144	7554	18496
145	7600	18427
146	7643	18355
147	7687	18284
148	7724	18195
149	7764	18116
150	7803	18035
151	7844	17959
152	7902	17922
153	7951	17865
154	7987	17778
155	8032	17713
156	8087	17669
157	8135	17610
158	8188	17561
159	8233	17495
160	8281	17438
161	8322	17364
162	8377	17321
163	8420	17250
164	8473	17203
165	8521	17145
166	8561	17071
167	8601	16998
168	8636	16914
169	8668	16827
170	8713	16764
171	8772	16729
172	8822	16675
173	8864	16607
174	8908	16544
175	8945	16468
176	8991	16407
177	9045	16363
178	9090	16301
179	9152	16270
180	9191	16198
181	9230	16128
182	9267	16052
183	9302	15975
184	9358	15934
185	9394	15860
186	9435	15792
187	9474	15723
188	9524	15673
189	9575	15623
190	9619	15562
191	9659	15495
192	9699	15429
193	9745	15372
194	9783	15303
195	9825	15239
196	9884	15203
197	9932	15149
198	9970	15080
199	10015	15023
200	10060	14965
201	10092	14889
202	10138	14832
203	10198	14797
204	10236	14731
205	10307	14711
206	10341	14637
207	10393	14590
208	10458	14561
209	10501	14501
210	10600	14519
211	10666	14490
212	10713	14435
213	10796	14428
214	10841	14371
215	10904	14337
216	10996	14341
217	11032	14271
218	11092	14232
219	11157	14199
220	11203	14144
221	11246	14083
222	11302	14039
223	11340	13973
224	11378	13907
225	11411	13835
226	11464	13787
227	11560	13791
228	11594	13721
229	11630	13653
230	11671	13592
231	11716	13534
232	11776	13495
233	11822	13439
234	11868	13383
235	11921	13336
